Season	No. in series	Company	Deal	Entrepreneur Gender	Amount	Equity	Valuation
1	1	Ava the Elephant	Yes	Female	"$50,000 "	55%	90909.00
1	1	Mr. Tod's Pie Factory	Yes	Male	"$460,000 "	50%	920000.00
1	1	Wispots	No	Male			
1	1	College Foxes Packing Boxes	No	Male			
1	1	Ionic Ear	No	Male			
1	2	A Perfect Pear	Yes	Female	"$500,000 "	50%	1000000.00
1	2	Classroom Jams	Yes	Male	"$250,000 "	100%	250000.00
1	2	Lifebelt	No	Male			
1	2	Crooked Jaw	No	Male			
1	2	Sticky Note Holder	No	Female			
1	3	Turbobaster	Yes	Female	"$35,000 "	100%	35000.00
1	3	Stress Free Kids	Yes	Female	"$250,000 "	50%	500000.00
1	3	Kwyzta Chopstick Art	No	Male			
1	3	50 State Capitals in 50 Minutes	No	Male			
1	3	Voyage Air Guitar	No	Male			
1	4	Gift Card Rescue 	Yes	Male	"$200,000 "	50%	400000.00
1	4	Coverplay 	Yes	Female	"$35,000 "	40%	87500.00
1	4	Graffiti Removal Services	No	Male			
1	4	"Souls Calling, Inc. "	No	Female			
1	4	Coffee Brand Gifts 	No	Male			
1	5	My Therapy Journal 	Yes	Male	"$80,000 "	51%	156863.00
1	5	Body Jac 	Yes	Male	"$180,000 "	50%	360000.00
1	5	Good Grief Celebrations	No	Female			
1	5	Granola Gourmet 	No	Male			
1	5	Face Blok 	No	Female			
1	6	Pork Barrel BBQ Sauce	Yes	Male	"$50,000 "	50%	100000.00
1	6	Element Bars	Yes	Male	"$150,000 "	30%	500000.00
1	6	Underease Underwear 	No	Mixed Team			
1	6	Kalyx Technologies 	No	Female			
1	6	The Fizz	No	Male			
1	7	Soy-Yer-Dough	Yes	Male	"$300,000 "	51%	588235.00
1	7	Grill Charms Set 	Yes	Female	"$50,000 "	20%	250000.00
1	7	Boogie Box Fitness 	No	Female			
1	7	The Fun house Project	No	Male			
1	8	Treasure Chest Pets 	Yes	Female	"$100,000 "	60%	166667.00
1	8	Notehall	Yes	Male	"$90,000 "	25%	360000.00
1	8	Throx 	No	Male			
1	8	Washed Up Hollywood	No	Male			
1	9	Gayla Bentley Fashion 	Yes	Female	"$250,000 "	50%	500000.00
1	9	Chill Soda 	Yes	Male	"$50,000 "	20%	250000.00
1	9	Cornucopia Express 	No	Male			
1	9	Virtusphere 	No	Male			
1	10	The URO Club 	Yes	Male	"$25,000 "	70%	35714.00
1	10	Jump Forward	Yes	Male	"$600,000 "	50%	1200000.00
1	10	The Bobble Place	No	Male			
