Season,No. in series,Company,Deal,,Entrepreneur Gender,Amount,Equity,Valuation,,,,,,,,
2,01,Wurkin Stiffs,Yes,,Male,100000.00,0.40,250000.00,,,,,,,,
2,01,Tippi Toes,Yes,,Female,100000.00,0.30,333333.33,,,,,,,,
2,01,CBS Foods,No,,Male,,,,,,,,,,,
2,01,Copa di Vino,No,,Male,,,,,,,,,,,
2,02,Toygaroo,Yes,,Female,200000.00,0.35,571428.57,,,,,,,,
2,02,First Defense Nasal Screen,Yes,,Male,750000.00,0.30,2500000.00,,,,,,,,
2,02,Vurtego,No,,Male,,,,,,,,,,,
2,02,Wake n' Bacon,No,,Male,,,,,,,,,,,
2,03,Mod Mom Furniture,Yes,,Female,90000.00,0.33,272727.27,,,,,,,,
2,03,Flipoutz,Yes,,Mixed Team,100000.00,0.25,400000.00,,,,,,,,
2,03,Fitness Stride,No,,Male,,,,,,,,,,,
2,03,Pure Ayre,No,,Male,,,,,,,,,,,
2,04,Broccoli Wad,Yes,,Male,50000.00,0.40,125000.00,,,,,,,,
2,04,Hillbilly Brand,Yes,,Male,75000.00,0.25,300000.00,,,,,,,,
2,04,Ride-On Carry-On,Yes,,Mixed Team,50000.00,0.25,200000.00,,,,,,,,
2,04,Uncle Zip's Beef Jerky,No,,Male,,,,,,,,,,,
2,05,Lightfilm ,Yes,,Male,10000.00,0.70,14285.71,,,,,,,,
2,05,Fridge Fronts,Yes,,Female,100000.00,0.50,200000.00,,,,,,,,
2,05,New Era Brands,No,,Male,,,,,,,,,,,
2,05,Thin Gloss,No,,Female,,,,,,,,,,,
2,06,Sweep Easy,Yes,,Male,75000.00,0.33,227272.73,,,,,,,,
2,06,Daisy Cakes,Yes,,Female,50000.00,0.25,200000.00,,,,,,,,
2,06,Hot Mama Gowns,No,,Female,,,,,,,,,,,
2,06,Caddy Swag,No,,Mixed Team,,,,,,,,,,,
2,07,Hydromax,Yes,,Male,50000.00,0.50,100000.00,,,,,,,,
2,07,Carsik Bib,No,,Male,,,,,,,,,,,
2,07,Ecomowers,No,,Male,,,,,,,,,,,
2,07,Games2U,No,,Male,,,,,,,,,,,
2,08,HyConn,Yes,,Male,1250000.00,1.00,1250000.00,,,,,,,,
2,08,Origaudio,Yes,,Male,150000.00,0.15,1000000.00,,,,,,,,
2,08,Man Candle,No,,Male,,,,,,,,,,,
2,08,Original Runner Company,No,,Female,,,,,,,,,,,
2,09,Aldo Orta Jewelry,Yes,,Male,180000.00,0.45,400000.00,,,,,,,,
2,09,One Sole,Yes,,Female,500000.00,0.35,1428571.43,,,,,,,,
2,09,CitiKitty,Yes,,Female,100000.00,0.30,333333.33,,,,,,,,
2,09,Samson Martin,No,,Female,,,,,,,,,,,
