Season,No. in series,Company,Deal,Entrepreneur Gender,Amount,Equity,Valuation
5,1,Sweet Ballz,Yes,Male,250000.00,0.25,1000000.00
5,1,Postcard on the Run,Yes,Male,300000.00,0.08,4000000.00
5,1,Lynnaes Gourmet Pickles,No,Female,,,
5,1,RoloDoc,No,Male,,,
5,2,Kane & Couture Dog Clothes,Yes,Female,150000.00,0.40,375000.00
5,2,Breathometer,Yes,Male,1000000.00,0.30,3333333.00
5,2,Mango Mango Preserve,No,Female,,,
5,2,Man Medals,No,Male,,,
5,3,Freeloader Child Carrier,Yes,Male,200000.00,0.33,606061.00
5,3,Rapid Ramen Cooker,Yes,Male,300000.00,0.15,2000000.00
5,3,Fairy Tale Wishes,No,Female,,,
5,3,Kook n Kap,No,Female,,,
5,4,Screen Mend,Yes,Mixed Team,30000.00,0.50,60000.00
5,4,Hamboards Skateboard/Surfboard,Yes,Male,300000.00,0.30,1000000.00
5,4,R Dubs Sunday Night Slow Jams,No,Male,,,
5,4,Scan. Me App,No,Male,,,
5,5,Garden Pops,Yes,Mixed Team,75000.00,0.30,250000.00
5,5,Ruffle Butts - Rugged Butts,Yes,Mixed Team,300000.00,0.09,3333333.00
5,5,Bare Ease Bikini Waxing,No,Female,,,
5,5,Rent A Goat,No,Male,,,
5,6,Total Merchant Resources,Yes,Mixed Team,200000.00,0.50,400000.00
5,6,Ten Thirty One Haunted Hayrides,Yes,Female,2000000.00,0.20,0.00
5,6,Fiber Fix Tape,Yes,Male,250000.00,0.12,2083333.00
5,6,Elephant Chat,No,Mixed Team,,,
5,7,180 Party Cup,Yes,Male,300000.00,0.25,1200000.00
5,7,Tree T Pee,Yes,Male,150000.00,0.20,750000.00
5,7,Better Life Cleaning Products,Yes,Male,400000.00,0.17,2352941.00
5,7,Kymera Electric Surfboards,No,Male,,,
5,8,Paparazzi Proposals,Yes,Male,250000.00,0.33,757576.00
5,8,Schulzies Bread Pudding,No,Female,,,
5,8,BellyBuds,No,Male,,,
5,8,PetPaint,No,Male,,,
5,9,Surprise Ride,No,Female,,,
5,9,Slawsa,No,Female,,,
5,9,DoorBot,No,Male,,,
5,9,Magic Moments,No,Male,,,
5,10,Grace & Lace Knitted Boot Socks,Yes,Mixed Team,175000.00,0.10,1750000.00
5,10,Yubo Customized Lunch Boxes,Yes,Mixed Team,150000.00,0.20,750000.00
5,10,PurseCase,Yes,Female,55000.00,0.15,366667.00
5,10,Chocomize Chocolate Bars,No,Male,,,
5,11,De-Boned Baby Back Rib Steak,Yes,Mixed Team,300000.00,0.30,1000000.00
5,11,SpiritHoods,No,Mixed Team,,,
5,11,FoHawx,No,Female,,,
5,11,Virtuix Omni,No,Male,,,
5,12,Tipsy Elves,Yes,Male,100000.00,0.10,1000000.00
5,12,One Life Products,Yes,Male,50000.00,0.35,142857.00
5,12,Cashmere Hair,No,Female,,,
5,12,Lite-Netics,No,Male,,,
5,13,GrooveBook,Yes,Mixed Team,150000.00,0.00,0.00
5,13,The Wall DoctoRX,Yes,Male,150000.00,0.00,0.00
5,13,Bounce Boot Camp,No,Male,,,
5,13,EyeBloc,No,Male,,,
5,14,LockerBones,Yes,Male,175000.00,0.50,350000.00
5,14,InvisiPlug,Yes,Male,125000.00,0.10,1250000.00
5,14,Balloon Distractions,No,Male,,,
5,14,Alaska Glacial Mud Co.,No,Female,,,
5,15,SwimZip,Yes,Mixed Team,60000.00,0.20,300000.00
5,15,Freshly Picked,Yes,Female,150000.00,0.25,600000.00
5,15,FitDeck,No,Male,,,
5,15,LifeCaps,No,Male,,,
5,16,The Cookie Dough Cafe,Yes,Female,100000.00,0.30,333333.00
5,16,Cycloramic,Yes,Male,500000.00,0.15,3333333.00
5,16,Nexersys,No,Male,,,
5,16,Cow Wow Cereal Milk,No,Male,,,
5,17,Spy Escape and Evasion,Yes,Male,150000.00,0.45,333333.00
5,17,Southern Culture Artisan Foods,Yes,Female,100000.00,0.38,263158.00
5,17,DDP Yoga,No,Male,,,
5,17,Moberi,No,Male,,,
5,18,Bambooee,Yes,Mixed Team,200000.00,0.10,2000000.00
5,18,Buzzy4Shots,No,Female,,,
5,18,ZipIt,No,Female,,,
5,18,Cheek'd,No,Female,,,
5,19,U-Lace,Yes,Male,200000.00,0.35,571429.00
5,19,RevoLights,Yes,Male,300000.00,0.10,3000000.00
5,19,Squeeky Knees,No,Mixed Team,,,
5,19,The Buffer Bit,No,Male,,,
5,20,Henry's Humdingers,Yes,Male,300000.00,0.75,400000.00
5,20,Boo Boo Goo,Yes,Mixed Team,100000.00,0.25,400000.00
5,20,Iretron,Yes,Male,100000.00,0.20,500000.00
5,20,Define Bottle,No,Male,,,
5,21,Packback Books,No,Mixed Team,,,
5,21,Chapul,Yes,Male,50000.00,0.15,333333.00
5,21,Garage Door Lock,Yes,Male,275000.00,0.35,785714.00
5,21,MorningHead,No,Male,,,
5,22,Plated,Yes,Male,500000.00,0.06,8992806.00
5,22,Monkey Mat,Yes,Mixed Team,100000.00,0.35,285714.00
5,22,The Paint Brush Cover,Yes,Male,100000.00,0.20,500000.00
5,22,Kodiak Cakes,No,Mixed Team,,,
5,23,Velocity Signs,Yes,Male,225000.00,0.30,750000.00
5,23,Happy Feet,Yes,Male,375000.00,0.25,1500000.00
5,23,Hold Your Haunches,Yes,Female,100000.00,0.40,250000.00
5,23,Lord Nut Levington,No,Male,,,
5,24,Fun Time Express,Yes,Male,125000.00,0.20,625000.00
5,24,PowerPot,Yes,Male,250000.00,0.12,2083333.00
5,24,Quickstop Fire Sprinkler Tools,No,Male,,,
5,24,Taylor Robinson Music,No,Male,,,
5,25,ZooBean,Yes,Mixed Team,250000.00,0.30,833333.00
5,25,iLumi,No,Male,,,
5,25,Fort Magic,No,Female,,,
5,25,Intelli-Stopper Technology,No,Male,,,
5,26,Rugged Maniac,Yes,Male,1750000.00,0.25,7000000.00
5,26,Cerebral Success,Yes,Male,75000.00,0.40,187500.00
5,26,Mo's Bows,No,Male,,,
5,26,Crio,No,Male,,,
5,27,Angellift,Yes,Male,500000.00,0.15,3333333.00
5,27,HangEase,No,Male,,,
5,27,The Bouqs Company,No,Male,,,
5,27,Susty Party,No,Female,,,
5,28,Oru Kayak,Yes,Male,500000.00,0.25,2000000.00
5,28,Bon Affair,Yes,Female,150000.00,0.35,428571.00
5,28,Cinnaholic,No,Mixed Team,,,
5,28,Hargitt Marine Services,No,Male,,,
5,29,Foot Fairy,Yes,Female,100000.00,0.40,250000.00
5,29,BZbox,Yes,Female,50000.00,0.40,125000.00
5,29,Tie-Not,No,Male,,,
5,29,Baker's Edge,No,Mixed Team,,,
