Season,No. in series,Company,Deal,,Entrepreneur Gender,Amount,Equity,Valuation,,,,,,,,
1,01,Ava the Elephant,Yes,,Female,50000.00,0.55,90909.09,,,,,,,,
1,01,Mr. Tod's Pie Factory,Yes,,Male,460000.00,0.50,920000.00,,,,,,,,
1,01,Wispots,No,,Male,,,,,,,,,,,
1,01,College Foxes Packing Boxes,No,,Male,,,,,,,,,,,
1,01,Ionic Ear,No,,Male,,,,,,,,,,,
1,02,A Perfect Pear,Yes,,Female,500000.00,0.50,1000000.00,,,,,,,,
1,02,Classroom Jams,Yes,,Male,250000.00,1.00,250000.00,,,,,,,,
1,02,Lifebelt,No,,Male,,,,,,,,,,,
1,02,Crooked Jaw,No,,Male,,,,,,,,,,,
1,02,Sticky Note Holder,No,,Female,,,,,,,,,,,
1,03,Turbobaster,Yes,,Female,35000.00,1.00,35000.00,,,,,,,,
1,03,Stress Free Kids,Yes,,Female,250000.00,0.50,500000.00,,,,,,,,
1,03,Kwyzta Chopstick Art,No,,Male,,,,,,,,,,,
1,03,50 State Capitals in 50 Minutes,No,,Male,,,,,,,,,,,
1,03,Voyage Air Guitar,No,,Male,,,,,,,,,,,
1,04,Gift Card Rescue ,Yes,,Male,200000.00,0.50,400000.00,,,,,,,,
1,04,Coverplay ,Yes,,Female,35000.00,0.40,87500.00,,,,,,,,
1,04,Graffiti Removal Services,No,,Male,,,,,,,,,,,
1,04,"Souls Calling, Inc. ",No,,Female,,,,,,,,,,,
1,04,Coffee Brand Gifts ,No,,Male,,,,,,,,,,,
1,05,My Therapy Journal ,Yes,,Male,80000.00,0.51,156862.75,,,,,,,,
1,05,Body Jac ,Yes,,Male,180000.00,0.50,360000.00,,,,,,,,
1,05,Good Grief Celebrations,No,,Female,,,,,,,,,,,
1,05,Granola Gourmet ,No,,Male,,,,,,,,,,,
1,05,Face Blok ,No,,Female,,,,,,,,,,,
1,06,Pork Barrel BBQ Sauce,Yes,,Male,50000.00,0.50,100000.00,,,,,,,,
1,06,Element Bars,Yes,,Male,150000.00,0.30,500000.00,,,,,,,,
1,06,Underease Underwear ,No,,Mixed Team,,,,,,,,,,,
1,06,Kalyx Technologies ,No,,Female,,,,,,,,,,,
1,06,The Fizz,No,,Male,,,,,,,,,,,
1,07,Soy-Yer-Dough,Yes,,Male,300000.00,0.51,588235.29,,,,,,,,
1,07,Grill Charms Set ,Yes,,Female,50000.00,0.20,250000.00,,,,,,,,
1,07,Boogie Box Fitness ,No,,Female,,,,,,,,,,,
1,07,The Fun house Project,No,,Male,,,,,,,,,,,
1,08,Treasure Chest Pets ,Yes,,Female,100000.00,0.60,166666.67,,,,,,,,
1,08,Notehall,Yes,,Male,90000.00,0.25,360000.00,,,,,,,,
1,08,Throx ,No,,Male,,,,,,,,,,,
1,08,Washed Up Hollywood,No,,Male,,,,,,,,,,,
1,09,Gayla Bentley Fashion ,Yes,,Female,250000.00,0.50,500000.00,,,,,,,,
1,09,Chill Soda ,Yes,,Male,50000.00,0.20,250000.00,,,,,,,,
1,09,Cornucopia Express ,No,,Male,,,,,,,,,,,
1,09,Virtusphere ,No,,Male,,,,,,,,,,,
1,10,The URO Club ,Yes,,Male,25000.00,0.70,35714.29,,,,,,,,
1,10,Jump Forward,Yes,,Male,600000.00,0.50,1200000.00,,,,,,,,
1,10,The Bobble Place,No,,Male,,,,,,,,,,,
1,10,Mr. Poncho,No,,Mixed Team,,,,,,,,,,,
1,11,Hells Bells Helmets ,Yes,,Mixed Team,500000.00,0.50,1000000.00,,,,,,,,
1,11,Chef In Black,Yes,,Female,50000.00,0.40,125000.00,,,,,,,,
1,11,Ink Flip,No,,Male,,,,,,,,,,,
1,11,Romp N’ Roll ,No,,Mixed Team,,,,,,,,,,,
1,11,The Twister ,No,,Male,,,,,,,,,,,
1,12,Grease Monkey Wipes,Yes,,Mixed Team,40000.00,0.40,100000.00,,,,,,,,
1,12,Wee Can Shop ,No,,Mixed Team,,,,,,,,,,,
1,12,The Podillow,No,,Mixed Team,,,,,,,,,,,
1,12,The Factionist ,No,,Male,,,,,,,,,,,
1,13,Caffeindicator,Yes,,Male,200000.00,0.50,400000.00,,,,,,,,
1,13,Lipstick Remix,Yes,,Female,105000.00,0.50,210000.00,,,,,,,,
1,13,Legal Grind,No,,Mixed Team,,,,,,,,,,,
1,13,Captain Ice Cream,No,,Male,,,,,,,,,,,
1,14,Nubrella,Yes,,Male,200000.00,0.51,392156.86,,,,,,,,
1,14,Qubits,Yes,,Male,90000.00,0.51,176470.59,,,,,,,,
1,14,Send A Ball,No,,Female,,,,,,,,,,,
1,14,Pillars of Slippers,No,,Female,,,,,,,,,,,
1,14,Llama Brew,No,,Mixed Team,,,,,,,,,,,
