Season,No. in series,Company,Deal,Entrepreneur Gender,Amount,Equity,Valuation
3,1,EZ VIP,Yes,Male,150000.00,0.30,500000.00
3,1,The Clean Bottle,Yes,Male,60000.00,0.08,750000.00
3,1,My Wonderful Life,No,Female,,,
3,1,Business Ghost,No,Male,,,
3,2,I Want To Draw A Cat For You,Yes,Male,25000.00,0.33,75758.00
3,2,Salespreneur,No,Male,,,
3,2,Invis-A-Rack,No,Male,,,
3,2,Vegas Magic Show,No,Male,,,
3,3,You Smell Soap,Yes,Female,50000.00,0.50,100000.00
3,3,Chord Buddy,Yes,Male,175000.00,0.20,875000.00
3,3,Liquid Money,No,Male,,,
3,3,Tail Lightz,No,Male,,,
3,4,Wine Balloon,Yes,Male,400000.00,1.00,400000.00
3,4,Show No,Yes,Female,75000.00,0.25,300000.00
3,4,The Swilt,No,Female,,,
3,4,Puppy Cake,No,Female,,,
3,5,The Last Lid,Yes,Mixed Team,40000.00,0.60,66667.00
3,5,Talbott Teas,Yes,Male,250000.00,0.35,714286.00
3,5,M3 Girl Designs,Yes,Female,300000.00,0.30,1000000.00
3,5,Ledge Pillow,No,Female,,,
3,6,Readerest Specsecure,Yes,Male,150000.00,0.65,230769.00
3,6,The Painted Pretzel,Yes,Female,100000.00,0.25,400000.00
3,6,Esso Watches,No,Male,,,
3,6,Five Minute Furniture,No,Male,,,
3,7,Kisstixx,Yes,Male,200000.00,0.40,500000.00
3,7,The Smart Baker,Yes,Mixed Team,75000.00,0.40,187500.00
3,7,ScotteVest,No,Male,,,
3,7,The Heat Helper,No,Male,,,
3,8,Litter,Yes,Female,80000.00,0.51,156863.00
3,8,Nardo's Natural,Yes,Male,75000.00,0.50,150000.00
3,8,The Original Profender,No,Male,,,
3,8,Rent-A-Grandma,No,Male,,,
3,9,Tower Paddle Boards,Yes,Male,150000.00,0.30,500000.00
3,9,Miso Media,Yes,Male,300000.00,0.08,3750000.00
3,9,Instant Lifts,No,Mixed Team,,,
3,9,Vinamor,No,Male,,,
3,10,GoGo Gear,Yes,Female,300000.00,0.50,600000.00
3,10,The Ave Venice,No,Male,,,
3,10,Brewer’s Cow,No,Male,,,
3,10,Bark’em’s To Go,No,Male,,,
3,11,ViewSport,No,Male,,,
3,11,Blondies Cookies,No,Female,,,
3,11,Copa di Vino,No,Male,,,
3,11,The Sullivan Generator,No,Male,,,
3,12,Lollacup,Yes,Mixed Team,100000.00,0.40,250000.00
3,12,Nail Pak,Yes,Female,50000.00,0.40,125000.00
3,12,Debbie Brooks Handbags,No,Mixed Team,,,
3,12,Trimi Tank,No,Female,,,
3,13,Villy Customs,Yes,Male,500000.00,0.42,1190476.00
3,13,Boot Illusions,Yes,Mixed Team,500000.00,0.40,1250000.00
3,13,AirBedz,No,Male,,,
3,13,Skyride ,No,Male,,,
3,14,Dance With Me,Yes,Male,100000.00,0.50,200000.00
3,14,Wild Squirrel Nut Butter,Yes,Female,50000.00,0.40,125000.00
3,14,Mix Bikini,Yes,Male,50000.00,0.25,200000.00
3,14,Cab20 Rock Band ,No,Male,,,
3,15,Remyxx ReKixx Sneakers,Yes,Male,50000.00,0.80,62500.00
3,15,UniKey Technologies,Yes,Male,500000.00,0.40,1250000.00
3,15,The NitroForce Titan 1000,No,Mixed Team,,,
3,15,Cougar Limited,No,Male,,,
