Season,No. in series,Company,Deal,Industry,Entrepreneur Gender,Amount,Equity,Valuation,Corcoran,Cuban,Greiner,Herjavec,John,O'Leary,Harrington,Guest,# Sharks,$ per shark,Details / Notes
4,1,Bev Buckle,Yes,Food and Beverage,Male,"$50,000",51%,"$98,039",1,,,,,,,,1,"$50,000",
4,1,Buggy Beds,Yes,Lifestyle / Home,Female,"$250,000",25%,"$1,000,000",1,1,,1,1,1,,,5,"$50,000",
4,1,Coat Chex,No,Business Services,Male,,,,,,,,,,,,0,,
4,1,Body Walking,No,Fashion / Beauty,Male,,,,,,,,,,,,0,,
4,2,SurfSet Fitness,Yes,Fitness / Sports,Mixed Team,"$300,000",30%,"$1,000,000",,1,,,,,,,1,"$300,000",
4,2,CateApp,Yes,Software / Tech,Male,"$75,000",30%,"$250,000",,,,,1,1,,,2,"$37,500",
4,2,Alpha M,No,Business Services,Male,,,,,,,,,,,,0,,
4,2,eCreamery,No,Food and Beverage,Female,,,,,,,,,,,,0,,
4,3,Rock Bands,Yes,Fashion / Beauty,Male,"$100,000",40%,"$250,000",,1,,,1,,,,2,"$50,000",
4,3,Posture Now,Yes,Healthcare,Male,"$100,000",30%,"$333,333",,1,,,,,,,1,"$100,000",
4,3,FuzziBunz,No,Children / Education,Female,,,,,,,,,,,,0,,
4,3,Liz Lovely Cookies,No,Food and Beverage,Mixed Team,,,,,,,,,,,,0,,
4,4,Bag Bowl,Yes,Lifestyle / Home,Male,"$40,000",33%,"$121,212",,,1,,,,,,1,"$40,000",
4,4,Back 9 Dips,Yes,Food and Beverage,Mixed Team,"$150,000",25%,"$600,000",,,1,1,,,,,2,"$75,000",
4,4,Lift Hamper,No,Lifestyle / Home,Male,,,,,,,,,,,,0,,
4,4,Zomm,No,Lifestyle / Home,Male,,,,,,,,,,,,0,,
4,5,Cozy Bugs,Yes,Fashion / Beauty,Female,"$50,000",30%,"$166,667",,,,,1,,,,1,"$50,000",
4,5,Marz Sprays,Yes,Healthcare,Male,"$200,000",25%,"$800,000",,,1,,,,,,1,"$200,000",plus option to buy back option of half the stock for 4X investment
4,5,Wired Waffles,No,Food and Beverage,Male,,,,,,,,,,,,0,,
4,5,The Spatty and The Spaddy Dadd,No,Food and Beverage,Female,,,,,,,,,,,,0,,
4,6,PRO-NRG,Yes,Food and Beverage,Mixed Team,"$250,000",30%,"$833,333",,,,,1,,,,1,"$250,000",contingent on a deal with Bad Ass Energy
4,6,Cousins Maine Lobster,Yes,Food and Beverage,Male,"$55,000",15%,"$366,667",1,,,,,,,,1,"$55,000",
4,6,Freaker USA,No,Food and Beverage,Male,,,,,,,,,,,,0,,
4,6,EcoNutsSoap,No,Lifestyle / Home,Mixed Team,,,,,,,,,,,,0,,
4,7,SBU,Yes,Fitness / Sports,Male,"$300,000",33%,"$909,091",,,,1,,1,,,2,"$150,000",
4,7,Scrub Daddy,Yes,Lifestyle / Home,Male,"$200,000",20%,"$1,000,000",,,1,,,,,,1,"$200,000",
4,7,The Shemie,No,Fashion / Beauty,Male,,,,,,,,,,,,0,,
4,7,The Bear & The Rat,No,Pet Products,Mixed Team,,,,,,,,,,,,0,,
4,8,The Cool Wazoo,Yes,Children / Education,Female,"$65,000",35%,"$185,714",,,1,,,,,,1,"$65,000",
4,8,Plate Topper,Yes,Food and Beverage,Male,"$90,000",8%,"$1,125,000",,,1,,,,,,1,"$90,000",
4,8,No Fly Cone,No,Pet Products,Male,,,,,,,,,,,,0,,
4,9,Drive Suits,Yes,Uncertain / Other,Male,"$150,000",30%,"$500,000",,,,,,1,,,1,"$150,000",
4,9,Ice Chips Candy,Yes,Food and Beverage,Female,"$125,000",20%,"$625,000",1,1,,,,,,,2,"$62,500",
4,9,ReVestor,No,Software / Tech,Male,,,,,,,,,,,,0,,
4,9,PC Classes Online,No,Software / Tech,Male,,,,,,,,,,,,0,,
4,10,Ruck Pack Combat Nutrition,Yes,Fashion / Beauty,Male,"$150,000",20%,"$750,000",,,,1,,1,,,2,"$75,000",
4,10,Nearly Newlywed,No,Fashion / Beauty,Female,,,,,,,,,,,,0,,
4,10,Tie Try,No,Fashion / Beauty,Male,,,,,,,,,,,,0,,
4,10,Corks Away,No,Food and Beverage,Male,,,,,,,,,,,,0,,
4,11,The Living Christmas Company,Yes,Lifestyle / Home,Male,"$150,000",40%,"$375,000",,1,,,,,,,1,"$150,000",
4,11,The Coop,Yes,Children / Education,Female,"$150,000",15%,"$1,000,000",1,,,,,,,,1,"$150,000",plus personal guarantee she will get her investment back within 2 years
4,11,Partie Poche,No,Fashion / Beauty,Mixed Team,,,,,,,,,,,,0,,
4,11,Fat Ass Fudge,No,Food and Beverage,Female,,,,,,,,,,,,0,,
4,12,Hot Tot,Yes,Children / Education,Female,"$75,000",40%,"$187,500",,1,,,,,,,1,"$75,000",
4,12,The GameFace Company,Yes,Fashion / Beauty,Male,"$450,000",35%,"$1,285,714",,1,1,,,,,,2,"$225,000",
4,12,Dura Tent,No,Food and Beverage,Male,,,,,,,,,,,,0,,
4,12,ARKEG,No,Uncertain / Other,Male,,,,,,,,,,,,0,,
4,13,Coffee Joulies,Yes,Food and Beverage,Male,"$150,000",n/a,n/a,,,1,1,1,1,,,4,"$37,500","plus royalty fee of $6 per Coffee Joulies sold retail, and $3 per wholesale. The royalty drops to $1 per unit sold after Sharks recoup their investment."
4,13,Teddy Needs,Yes,Children / Education,Female,"$100,000",30%,"$333,333",,1,,,,,,,1,"$100,000",plus 10% royalty until he gets his investment paid back in full
4,13,Urbio,Yes,Lifestyle / Home,Male,"$300,000",15%,"$2,000,000",,,1,,,,,,1,"$300,000",
4,13,Sub Zero Ice Cream,No,Food and Beverage,Mixed Team,,,,,,,,,,,,0,,
4,14,Sound Bender,Yes,Software / Tech,Male,"$54,000",40%,"$135,000",,,,,1,,,,1,"$54,000",
4,14,Bibitec Bibs,No,Children / Education,Mixed Team,,,,,,,,,,,,0,,
4,14,Cuddle Story Telling Bear,No,Children / Education,Male,,,,,,,,,,,,0,,
4,14,Invisible Xero Shoes,No,Fitness / Sports,Mixed Team,,,,,,,,,,,,0,,
4,15,Hoodie Pillow,Yes,Lifestyle / Home,Mixed Team,"$90,000",20%,"$450,000",,,,1,,,,,1,"$90,000",
4,15,Get Grinds,Yes,Food and Beverage,Male,"$75,000",15%,"$500,000",,,,1,1,,,,2,"$37,500",
4,15,Green Garmento,No,Fashion / Beauty,Female,,,,,,,,,,,,0,,
4,15,My Cold Snap,No,Food and Beverage,Male,,,,,,,,,,,,0,,
4,16,The Smart Wheel,Yes,Consumer Products,Mixed Team,"$100,000",30%,"$333,333",,1,,1,,,,,2,"$50,000",
4,16,HDYR Sushi Bars,Yes,Food and Beverage,Male,"$1,000,000",20%,"$5,000,000",,,,,,1,,,1,"$1,000,000",
4,16,Gotta Have S'More,No,Food and Beverage,Female,,,,,,,,,,,,0,,
4,16,Pretty Padded Room,No,Healthcare,Female,,,,,,,,,,,,0,,
4,17,Addison's Wonderland,No,Children / Education,Female,,,,,,,,,,,,0,,
4,17,Hip Chicks,No,Fashion / Beauty,Female,,,,,,,,,,,,0,,
4,17,Proof Eye Wear,No,Fashion / Beauty,Male,,,,,,,,,,,,0,,
4,17,Muddy Water Camo,No,Fitness / Sports,Male,,,,,,,,,,,,0,,
4,18,Jeska Shoe Company,Yes,Fashion / Beauty,Female,"$70,000",70%,"$100,000",,,,,1,,,,1,"$70,000",
4,18,Nuts n More,Yes,Food and Beverage,Male,"$250,000",30%,"$833,333",,1,,1,,,,,2,"$125,000",
4,18,Neo Innovations,No,Healthcare,Male,,,,,,,,,,,,0,,
4,18,PSI Bands,No,Healthcare,Female,,,,,,,,,,,,0,,
4,19,CordaRoy's Bean Bag Beds,Yes,Lifestyle / Home,Male,"$200,000",58%,"$344,828",,,1,,,,,,1,"$200,000",
4,19,Lose 12,Yes,Fitness / Sports,Male,"$125,000",25%,"$500,000",,,,,1,,,,1,"$125,000",
4,19,Baby Loves Disco,No,Children / Education,Mixed Team,,,,,,,,,,,,0,,
4,19,Cell Helmet,No,Software / Tech,Male,,,,,,,,,,,,0,,
4,20,CoolWraps,Yes,Lifestyle / Home,Male,"$250,000",100%,"$250,000",,1,,,,,,,1,"$250,000",plus inventor gets 3% royalty from all future profits
4,20,Simple Sugar Scrubs,Yes,Fashion / Beauty,Female,"$100,000",33%,"$303,030",,1,,,,,,,1,"$100,000",
4,20,Drop Stop,Yes,Consumer Products,Male,"$300,000",20%,"$1,500,000",,,1,,,,,,1,"$300,000",
4,20,Traditional Fisheries,No,Food and Beverage,Male,,,,,,,,,,,,0,,
4,21,GOBIE H20,Yes,Consumer Products,Male,"$300,000",40%,"$750,000",,,,,1,,,,1,"$300,000",
4,21,LiddUp Coolers,Yes,Food and Beverage,Male,"$100,000",33%,"$303,030",,,,,,1,,,1,"$100,000",
4,21,Rootsuit,No,Fashion / Beauty,Male,,,,,,,,,,,,0,,
4,21,Echo Valley Meats,No,Food and Beverage,Male,,,,,,,,,,,,0,,
4,22,Wicked Good Cup Cakes,Yes,Food and Beverage,Female,"$75,000",n/a,n/a,,,,,,1,,,1,"$75,000","Zero equity, but $1 royalty until investor gets money back,t hen .45 cent royalty in perpetuity."
4,22,The Mission Belt,Yes,Fashion / Beauty,Male,"$50,000",37.50%,"$133,333",,,,,1,,,,1,"$50,000",
